organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
National Area Health Education Centers Organization,NGO,,,,,FAHRQ, 7044 S. 13th Street,,Oak Creek,WI,53154,,,,,,,,"The AHEC (Area Health Education Centers) program was developed by Congress in 1971 to recruit, train and retain a health professions workforce committed to underserved populations.",http://www.nationalahec.org/,https://twitter.com/NationalAHEC,https://www.facebook.com/NationalAHECOrg,https://www.linkedin.com/company/national-ahec-organization,,
National Association for Biomedical Research,NGO,,,,,CPR,"1100 Vermont Avenue Nw Suite 1100 
",,Washington,DC,20005-6327,,,,,,501(c)(6),Health & Medical Sciences,"Founded in 1979, the National Association for Biomedical Research (NABR) provides the unified voice for the scientific community on legislative and regulatory matters affecting laboratory animal research. NABR works to safeguard the future of biomedical research on behalf of its more than 350 public and private universities, medical and veterinary schools, teaching hospitals, voluntary health agencies, professional societies, pharmaceutical and biotech industries, and other animal research-related firms.",http://www.nabr.org/,,https://www.facebook.com/FBResearch/,,,
National Association for Business Economics,NGO,,,,,FBLS,1920 L Street Nw ,,Washington,DC,20036-5004,,,,,,501(c)(6),"Innovation & Competitiveness, Industry","NABE is the premier professional association for business economists and those who use economics in the workplace. Since 1959, NABE has attracted the most prominent figures in economics, business, and academia to its membership with highly-regarded conferences, educational and career development offerings, industry surveys, and its unrivaled networking opportunities. The NABE membership is organized into subject-oriented Roundtables including: Energy, Financial, Health Economics, International, Manufacturing/Industry, Real Estate/Construction, Regional/Utility, Small Business, and Technology. Past presidents of NABE include former Chairman of the Board of Governors for the Federal Reserve System, Alan Greenspan, several former Federal Reserve Governors, and other senior business leaders. 
",https://www.nabe.com/,https://twitter.com/business_econ,https://www.facebook.com/National-Association-for-Business-Economics-48820424893/,https://www.linkedin.com/company/national-association-for-business-economics,,
National Association for College Admission Counseling (NACAC),NGO,,,,,NDD,1050 N Highland St Ste 400 ,,Arlington,VA,22201-2197,,,,,,501(c)(3),,"The National Association for College Admission Counseling (NACAC), founded in 1937, is an organization of more than 12,000 professionals from around the world dedicated to serving students as they make choices about pursuing postsecondary education. 
",http://www.nacacnet.org/,https://twitter.com/nacac,https://www.facebook.com/National-Association-for-College-Admission-Counseling-60514532749/?ref=sgm,,,
National Association for Public Health Statistics and Information Systems,NGO,,,,,"PHF, CHF, FAHRQ, FNCHS",962 Wayne Avenue,Suite 701,Silver Spring,MD,20910,,,,,,501(c)(3),,NAPHSIS provides leadership for Vital Records & information systems to establish & protect identity & improve population health. Vital Records are VITAL!,http://www.naphsis.org/,https://twitter.com/NAPHSIS_US,https://www.facebook.com/NAPHSIS-557149437737219/,https://www.linkedin.com/company/naphsis,,
National Association for Social Workers (NASW),NGO,,,,,"FNICHD, CAHT-BSSR, FNIA, CPR","750 First Street, NE,  Suite 800",,Washington,DC,20002,,,,,,501(c)(3),,"Founded in 1955, the National Association of Social Workers (NASW) is the largest membership organization of professional social workers in the world, with over 140,000 members. NASW works to enhance the professional growth and development of its members, to create and maintain professional standards, and to advance sound social policies.",https://www.socialworkers.org,https://twitter.com/nasw,https://www.facebook.com/socialworkers,https://www.linkedin.com/groups/115089/profile,,https://www.youtube.com/user/socialworkers
National Association of Chronic Disease Directors,NGO,,,,,CDCC,2200 Century Parkway,Suite 250,Atlanta,GA,30345,,,,,,,,The National Association of Chronic Disease Directors (NACDD) is a non-profit Public Health organization committed to serve the chronic disease program directors of each state and U.S. jurisdiction. ,http://www.chronicdisease.org/,https://twitter.com/nacddinfo,https://www.facebook.com/ChronicDiseaseDirectors/,https://www.linkedin.com/company/national-association-of-chronic-disease-directors-nacdd-,,
National Association of Clean Water Agencies,NGO,,,,,USGS,"1816 Jefferson Pl, NW",,Washington,DC,20036,,,,,,501(c)(6),"Earth, Environmental & Geosciences","Established in 1970, NACWA represents 22 large municipal sewerage agencies.",http://www.nacwa.org/,https://twitter.com/nacwa,https://www.facebook.com/nacwaorg,https://www.linkedin.com/company/national-association-of-clean-water-agencies-nacwa-,,
National Association of Colleges and Employers (NACE),NGO,,,,,"Innovation Imperative, COMPETES",62 Highland Ave,,Bethlehem,PA,18017,,,,,,501(c)(4),Higher Education,"Established in 1956, the NACE connects more than 6,300 college career services professionals at nearly 2,000 colleges and universities nationwide, more than 2,700 university relations and recruiting professionals and the business affiliates that serve this community.",https://www.naceweb.org/,https://twitter.com/@naceorg,https://www.facebook.com/NACEOrg,https://www.linkedin.com/company/nationalassociationofcollegesandemployers,https://www.linkedin.com/groups?gid=59747,
National Association of Community Health Centers ,NGO,,,,,"PHF, CHF","7501 Wisconsin Ave,",Suite 1100W,Bethesda,MD,20814,,,,,,501(c)(3),,"Founded 1971 to provide Community Health Centers with a unified voice and common source for research, information, training and advocacy.",http://www.nachc.com/,https://twitter.com/NACHC,https://www.facebook.com/nachc,https://www.linkedin.com/company/nachc,,https://www.youtube.com/user/nachcmedia
National Association of Councils on Developmental Disabilities  ,NGO,,,,,"PHF, CDCC, CHF",1825 K Street NW,Suite 600,Washington,DC,20006,,,,,,501(c)(3),,The National Association of Councils on Developmental Disabilities (NACDD) serves as the national voice of the 56 State & Territorial DD Councils.,http://www.nacdd.org/home/,https://twitter.com/nacdd,https://www.facebook.com/NACDDKStreet/,https://www.linkedin.com/company/national-association-of-councils-on-developmental-disabilities,,
National Association of County and City Health Officials,NGO,,,,,"PHF, CDCC, CHF, FAHRQ, FNCHS","1100 17th Street, NW,",Seventh Floor,Washington,DC,20036,,,,,,501(c)(3),,National Association of County and City Health Officials (NACCHO) is the national organization representing local health departments.,http://www.naccho.org/,https://twitter.com/nacchoalerts,https://www.facebook.com/NACCHOHQ/,https://www.linkedin.com/company/naccho?,,
National Association of the Deaf (NAD),NGO,,,,,FNCHS,8630 Fenton St Ste 820 ,,Silver Spring,MD,20910-3819,,,,,,501(c)(3),,"Established in 1880, the NAD is the nation's premier civil rights organization of, by and for deaf and hard of hearing individuals in the United States of America.",https://nad.org/,https://twitter.com/nad1880,https://www.facebook.com/NAD1880/,https://www.linkedin.com/company/national-association-of-the-deaf,,https://www.youtube.com/user/NADvlogs
National Association of Federally Impacted Schools,NGO,,,,,NDD,444 N Capital St Nw ,,Washington,DC,20001-1512,,,,,,501(c)(4),,"The National Association of Federally Impacted Schools (NAFIS) is a non-profit, non-partisan corporation of school districts from throughout the United States, organized primarily to educate Congress on the importance of Impact Aid. Founded in 1973, the association works to ensure the needs of federally connected children are met with adequate federal funds. NAFIS represents children residing on Indian Lands, military children, children residing in low-rent housing projects, and children whose parents are civilian but work and/or live on federal property. NAFIS is governed by a board of directors elected from its membership. The association is located in Washington, D.C., with a full time professional staff under the leadership of an executive director.",http://www.nafisdc.org/,https://twitter.com/nafisschools,https://www.facebook.com/nafisschools,,,
National Association of Forensic Economists,NGO,,,,,FBLS,PO Box 394,,Mount Union,PA,17066,,,,,,501(c)(3),Innovation & Competitiveness ,"The National Association of Forensic Economics is an organization for the advancement and exchange of research and methods in the field of forensic economics. In support of this mission, NAFE publishes the peer reviewed Journal of Forensic Economics; sponsors academic and professional sessions at international, national, and regional meetings of economists; and maintains the NAFE Statement of Ethical Principles and Professional Practice.",http://nafe.net/,https://twitter.com/NAFEInfo,,,https://www.linkedin.com/grps?gid=2950500&trk=myg_ugrp_ovr,
National Association of Geoscience Teachers,NGO,,,,,"Innovation Imperative, COMPETES",200 Division St,Ste 210,Northfield,MN,55057,,,,,,501(c)(3),"STEM Education, Earth, Environmental & Geosciences",NAGT works to raise the quality of an emphasis on teaching the geosciences at all levels. K-12 teachers and college and university faculty as well as educators working with the general public in museams and science centers are members of the NAGT.,http://nagt.org/index.html,,https://www.facebook.com/nagt1,,,
National Association of Graduate-Professional Students,NGO,,,,,Innovation Imperative,"1050 K St, NW",Ste 400,Washington,DC,20001-4448,,,,,,501(c)(3),"Student Engagement, Higher Education","Founded by student leaders in 1987, NAGPS is a student-run national organization dedicated to improving the quality of life of graduate & professional students across the United States.",http://nagps.org/,https://twitter.com/NAGPS,https://www.facebook.com/nagps,https://www.linkedin.com/company/national-association-of-graduate-professional-students,,
National Association of Home Builders,NGO,,,,,FBLS,1201 15Th Street Nw ,,Washington,DC,20005-2800,,,,,,501(c)(6),Trade Organization,"NAHB is a trade association that helps promote policies that make housing a national priority. Since 1942, NAHB has been serving its members, the housing industry, and the public at large.",https://www.nahb.org/,https://twitter.com/NAHBhome,https://www.facebook.com/NAHBhome,https://www.linkedin.com/company/national-association-of-home-builders,,
National Association of Local Boards of Health,NGO,,,,,"CDCC, FAHRQ",563 Carter Court,Suite B,Kimberly,WI,54136-2201,,,,,,501(c)(3),,"The National Association of Local Boards of Health (NALBOH) informs, guides, and is the national voice for boards of health.",http://www.nalboh.org/,,,,,
National Association of Manufacturers,NGO,,,,,"Innovation Imperative, TFAI, TAP, R&DTC, InnovationP","733 10th St, NW",Ste 700,W,DC,20001,,,,,,501(c)(6),Business & Industry,"NAM is the largest manufacturing association in the United States, representing small and large manufacturers in every industrial sector and in all 50 states. ",http://www.nam.org/,https://twitter.com/shopfloornam,https://www.facebook.com/NAMpage,https://www.linkedin.com/company/national-association-of-manufacturers---nam,https://www.linkedin.com/groups?home=&gid=167117&trk=anet_ug_hm,https://www.youtube.com/user/NAMvideo
National Association of Marine Laboratories,NGO,,,,,"Innovation Deficit, CNSF, Innovation Imperative, InnovationP, COMPETES",1313 Dolley Madison Blvd,Ste 402,McLean,VA,22101,,,,,,501(c)(3),"Agricultural, Biological & Life Sciences",NAML provides a forum for non-profit marine laboratories in the United States.,http://www.naml.org/,,,,,
National Association of Nurse Practitioners in Women's Health's,NGO,,,,,"PHF, CHF","505 C Street, Northeast",,Washington,DC,20002,,,,,,501(c)(3),,Strives to ensure the provision of quality health care by NPs to women of all ages. Promotes & protects a woman's right to make her own health care choices.,https://www.npwh.org/,https://twitter.com/NPWH,https://www.facebook.com/NPWH1/,https://www.linkedin.com/company/national-association-of-nurse-practitioners-in-women's-health-npwh-,,
National Association of Pediatric Nurse Practitioners,NGO,,,,,FNICHD,5 Hanover Square,,New York,NY,10004,"20 F Street, NW",,Washington,DC,20001,501(c)(6),,"The National Association of Pediatric Nurse Practitioners (NAPNAP) is the nation’s professional association of pediatric nurse practitioners and advanced practice nurses dedicated to improving the quality of health care for infants, children, adolescents and young adults. Representing more than 8,000 healthcare practitioners nationwide with 17 special interest groups and 49 chapters, NAPNAP has been advocating for children’s health since 1973. ",https://www.napnap.org/,https://twitter.com/NAPNAP,https://www.facebook.com/NAPNAP1973,https://www.linkedin.com/company/national-association-of-pediatric-nurse-practitioners-napnap-,,
National Association of Plant Breeders,NGO,,,,,AFRI,5585 Guilford Rd ,,Madison,WI,53711-5801,,,,,,501(c)(3),,"This is the official website of the National Association of Plant Breeders. The National Association of Plant Breeders (NAPB), was begun as an initiative of the Plant Breeding Coordinating Committee (PBCC) which began in 2005. The PBCC (official committee SCC 080) is a forum for leadership, regarding issues, problems, and opportunities of long-term strategic importance to the contribution of plant breeding to national goals. The NAPB is the outreach group that represents plant breeders in federal, state, commercial and non-government organizations.",https://www.plantbreeding.org/,,https://www.facebook.com/National-Association-of-Plant-Breeders-NAPB-175644922685/?fref=nf,,,
National Association of School Nurses,NGO,,,,,CDCC,1100 Wayne Ave ,Suite 925,Silver Spring,MD,20910-5669,,,,,,501(c)(3),,The mission of NASN is to optimize student health and learning by advancing the practice of school nursing.,https://www.nasn.org/,,,,,
National Association of State Alcohol and Drug Abuse Directors,NGO,,,,,"PHF, CHF","1025 Connecticut Avenue NW,",Suite 605,Washington,DC,20036,,,,,,501(c)(3),,"The National Association of State Alcohol and Drug Abuse Directors, Inc. (NASADAD) is a private, not-for-profit educational, scientific, and informational organization. The Association was originally incorporated in 1971 to serve State Drug Agency Directors, and then in 1978 the membership was expanded to include State Alcoholism Agency Directors.",http://nasadad.org/,,https://www.facebook.com/pages/National-Association-of-State-AlcoholDrug-Abuse-Directors/373970619347774,https://www.linkedin.com/company/national-association-of-state-alcohol-and-drug-abuse-directors,,
National Association of State Departments of Agriculture (NASDA),NGO,,,,,NCFAR,4350 Fairfax Dr,#910,Alexandria,VA, 22203,,,,,,501(c)(3),,NASDA represents the departments of agriculture of all 50 states and 4 U.S. territories.,http://www.nasda.org/,https://twitter.com/nasdanews,https://www.facebook.com/NASDADC/,,,
National Association of State EMS Directors,NGO,,,,,CDCC,201 Park Washington Court,,Falls Church,VA,22046-4527,,,,,,,,"The National Association of State EMS Officials is the lead national organization for EMS, a respected voice for national EMS policy with comprehensive concern and commitment for the development of effective, integrated, community-based, universal and consistent EMS systems.",https://www.nasemso.org/,,,,,
National Association of University Fisheries and Wildlife Programs,NGO,,,,,USGS,"1133 FIFTEENTH STREET, NW",,Washington,DC,20005,,,,,,,"Agricultural, Biological & Life Sciences","Founded in 1991, NAUFWP develops effective communications and liaison with other natural resource, conservation, environmental, scientific, and educational organizations including the Association of Public and Land-grant Universities. ",http://naufwp.org/,,,,,
National Association of Wheat Growers (NAWG),NGO,,,,,NCFAR,415 2Nd St Ne,Suite 300,Washington,DC,20002,,,,,,501(c)(6),,"Founded in 1950,  NAWG’s work has been focused on the policies of the U.S. government that affect the livelihoods of U.S. wheat producers.",http://www.wheatworld.org/,https://twitter.com/wheatworld,https://www.facebook.com/wheatworld,,,https://www.youtube.com/user/wheatworld
National Association of Workforce Boards,NGO,,,,,FBLS,1133 19Th St Nw Ste 400 ,,Washington,DC,20036-3631,,,,,,501(c)(3),,"NAWB represents approximately 550 Workforce Development Boards and their 12,000+ business members that coordinate and leverage workforce strategies with education and economic development stakeholders within their local communities, to ensure that state and local workforce development and job training programs meet the needs of employers. ",http://www.nawb.org/,https://twitter.com/WorkforceInvest,,https://www.linkedin.com/company/national-association-of-workforce-boards?trk=fc_badge,,https://www.youtube.com/user/NAWBChannel
National Athletic Trainer's Association,NGO,,,,,"CDCC, FAHRQ",1620 Valwood Parkway,Suite 115,Carrollton ,TX,75006,,,,,,501(c)(6),,The National Athletic Trainers’ Association (NATA) is the professional membership association for certified athletic trainers and others who support the athletic training profession.,http://www.nata.org/,https://twitter.com/nata1950,https://www.facebook.com/NATA1950?ref=sgm,https://www.linkedin.com/groups/819297/profile,,https://vimeo.com/nata1950
National Beer Wholesalers Association,NGO,,,,,FBLS,1101 King Street,,Alexandria,VA,22314-2944,,,,,,501(c)(6),Trade Organization,"The National Beer Wholesalers Association (NBWA) represents the interests of America's 3,300 licensed, independent beer distributors.",https://www.nbwa.org/,https://twitter.com/NBWAbeer,,,,https://www.youtube.com/user/NBWABeer
National Black Child Development Institute,NGO,,,,,FNICHD,1313 L St Nw Ste 110 ,,Washington,DC,20005-4139,,,,,,501(c)(3),,"Founded in 1970, NBCDI engages leaders and opinion makers at the national and local levels to develop institutional responses that positively impact the lives of Black children. NBCDI leverages its strength to confront the most critical social issues facing black children and their families: illiteracy, inadequate child care, substandard or nonexistent health care, and economic disadvantages rooted in poverty and living conditions.
",http://www.nbcdi.org/,https://twitter.com/nbcdi,https://www.facebook.com/nbcdi,https://www.linkedin.com/company/national-black-child-development-institute,,
National Black Nurses Association,NGO,,,,,CDCC,8630 Fenton Street,#330,Silver Spring,MD, 20910,,,,,,501(c)(3),,The National Black Nurses Association’s mission is “to represent and provide a forum for Black nurses to advocate and implement strategies to ensure access to the highest quality of healthcare for persons of color”.,http://www.nbna.org/,https://twitter.com/nbnainc,https://www.facebook.com/National-Black-Nurses-Association-201829639735/,,,
National Brain Tumor Society,NGO,,,,,"Innovation Deficit, RMR, DCC",55 Chapel St,Ste 200,Newton,MA,02458,,,,,,501(c)(3),Health & Medical Sciences,National Brain Tumor Society (NBTS) is a nonprofit organization committed to finding a cure for brain tumors.,http://braintumor.org/,https://twitter.com/NBTStweets,https://www.facebook.com/braintumors,https://www.linkedin.com/company/national-brain-tumor-society,,http://www.youtube.com/user/NBTSvideo
National Business Coalition on Health,NGO,,,,,FAHRQ,1015 18th St NW,#730,Washington,DC,20036,,,,,,501(c)(6),,"Over the past 22 years, the National Business Coalition on Health (NBCH) has provided expertise, resources and a voice to its member coalitions across the country and represented each community coalition at the national level. ",http://www.nbch.org/,https://twitter.com/NBCH,,https://www.linkedin.com/company/national-business-coalition-on-health?trk=company_logo,,https://www.youtube.com/channel/UCrtJ8IuLs9kxn-T4veTnjbA
National Business Group on Health,NGO,,,,,FNCHS,20 F St Nw Ste 200,,Washington,DC,20001-6705,,,,,,501(c)(3),,"Since 1974 we have been the nation's only non-profit organization devoted exclusively to representing large employers' perspective on national health policy issues and providing practical solutions to our members' most important health care problems. The National Business Group on Health members are primarily Fortune 500 companies and large public sector employers — including the nation's most innovative health care purchasers — who provide health coverage for more than 55 million U.S. workers, retirees, and their families.",https://www.businessgrouphealth.org/,https://twitter.com/NBGHemployers,,https://www.linkedin.com/company/national-business-group-on-health,,
National Campaign to Prevent Teen and Unplanned Pregnancy,NGO,,,,,"FAHRQ, FNCHS, NDD",1776 Mass Ave Nw,Suite 200,Washington,DC,20036,,,,,,501(c)(3),,"Our mission is to improve the lives and future prospects of children and families and, in particular, to help ensure that children are born into stable, two-parent families who are committed to and ready for the demanding task of raising the next generation.",http://thenationalcampaign.org/,https://twitter.com/TheNC,https://www.facebook.com/TheNationalCampaign,,,https://www.youtube.com/user/NationalCampaign
National Center for Healthy Housing,NGO,,,,,CDCC, 10320 Little Patuxent Pkwy,#500,Columbia,MD, 21044,,,,,,501(c)(3),,The National Center for Healthy Housing (NCHH) is the preeminent national nonprofit dedicated to securing healthy homes for all. ,http://www.nchh.org/,,,,,
National Center for Learning Disabilities,NGO,,,,,"FNICHD, FIES","32 Laight Street, Second Floor",,New York,NY,10013,,,,,,501(c)(3),,"The mission of NCLD is to improve the lives of the one in five children and adults nationwide with learning and attention issues—by empowering parents and young adults, transforming schools and advocating for equal rights and opportunities. We’re working to create a society in which every individual possesses the academic, social and emotional skills needed to succeed in school, at work and in life.",http://www.ncld.org/,https://twitter.com/NCLDorg,,https://www.linkedin.com/company/national-center-for-learning-disabilities,,https://www.youtube.com/user/NCLD1401
National Center for Manufacturing Sciences,NGO,,,,,"TFAI, InnovationP",3025 Boardwalk,,Ann Arbor,MI,48108,,,,,,501(c)(3),,"The National Center for Manufacturing Sciences fuels innovative solutions for manufacturers. A nonprofit, member-based consortium, the organization’s objective is to drive the global competitiveness of North American Manufacturers through collaboration, innovation, and advanced technologies. NCMS was founded in 1986. ",http://www.ncms.org/,,,,,
National Center for Science and Civic Engagement,NGO,,,,,SHRC, 2000 P St NW,#210,Washint,DC,20036,,,,,,,,NCSCE is a national organization that supports a community of teachers and learners.,http://ncsce.net/,https://twitter.com/ncsce,,,,https://www.youtube.com/channel/UCUfVJbJoAU91HUFnYoAkRqw
National Center for Science Education,NGO,,,,,Innovation Imperative,420 40th St,#2,Oakland,CA,94609,,,,,,501(c)(3),,"The National Center for Science Education (NCSE) is a not-for-profit, membership organization providing information and resources for schools, parents and concerned citizens working to keep evolution and climate science in public school science education. Our 4500 members are scientists, teachers, clergy, and citizens with diverse religious and political affiliations.",http://ncse.com/,https://twitter.com/ncse,https://www.facebook.com/evolution.ncse,,,https://www.youtube.com/user/NatCen4ScienceEd
National Center for Women & Information Technology,NGO,,,,,TFAI,1125 18th St,University of Colorado,Boulder,CO,80309,,,,,,,,"NCWIT is a community of more than 300 prominent corporations, academic institutions, government agencies, and non-profits working to increase women's participation in information technology (IT).  Founded in 2004.",https://www.ncwit.org/,https://twitter.com/NCWIT,https://www.facebook.com/ncwit,https://www.linkedin.com/company/ncwit,,
National Certification Council for Activity Professionals,NGO,,,,,Innovation Deficit,PO Box 62589,,Virginia Beach,VA,23466,,,,,,501(c)(6),,The National Certification Council for Activity Professionals is a credentialing body which sets standards and criteria for those working to meet the leisure needs of those in their care. ,http://nccap.org/,https://twitter.com/nccaporg,,,,https://www.youtube.com/user/nccapofficial
National Cervical Cancer Coalition,NGO,,,,,RMR,PO Box 13827,,Research Triangle Park,NC,27709,,,,,,501(c)(3),,"The NCCC is a grassroots nonprofit organization dedicated to serving women with, or at risk for, cervical cancer and HPV disease.",http://www.nccc-online.org/,https://twitter.com/StopHPVCancer,https://www.facebook.com/StopCervicalCancer,https://www.linkedin.com/company/national-cervical-cancer-coalition-hpv-cancer-coalition-nccc-,,https://www.youtube.com/user/ashastd
National Coalition for Cancer Research,NGO,,,,,RMR,"1050 K Street, NW",Suite 315,Washington,DC,20001,,,,,,501(c)(3),,"The National Coalition for Cancer Research is a 501(c) (3) nonprofit coalition of cancer research, cancer care and lay groups and foundations representing cancer survivors, children with cancer and their families, cancer researchers, nurses and physicians, and cancer hospitals, centers, clinics and specialized research institutions. Established in 1986, the National Coalition for Cancer Research directs its efforts at making widely known the value of cancer research and the major contributions the National Cancer Program has made to the basic biomedical sciences and related fields, patient care and the reduction of cancer incidence, morbidity and death and cancer survivorship.",http://cancercoalition.org/,,,,,
National Coalition for LGBT Health,NGO,,,,,"CDCC, FNCHS, CPR",1325 Massachusetts Ave Nw,708,Washington,DC,20005,,,,,,501(c)(3),,"The Coalition is committed to improving the health and well-being of lesbian, gay, bisexual, and transgender individuals through federal and local advocacy, education, and research. ",http://www.healthhiv.org/sites-causes/national-coalition-for-lgbt-health/,https://twitter.com/healthhiv,https://www.facebook.com/HealthHIV/,https://www.linkedin.com/groups/2550672/profile,,https://www.youtube.com/user/HealthHIV
National Coalition of STD Directors,NGO,,,,,"CDCC, CPR",1029 Vermont Ave Nw,Suite 500,Washington,DC,20005,,,,,,501(c)(3),,National Coalition of STD Directors (NCSD)  works toward the development of systemic change and promotion of national awareness in the policies that govern STDs.,http://www.ncsddc.org/,https://twitter.com/NCSDdc,,,,https://www.youtube.com/user/NCstdDirectors
National Coalition on Health Care,NGO,,,,,"FAHRQ, FNCHS",1030 15Th St Nw,Suite 690 W,Washington,DC,20005,,,,,,501(c)(3),,National Coalition on Health Care is the nation's oldest and most broadly representative alliance working to improve America's health care.,http://www.nchc.org/,https://twitter.com/NC_HC,https://www.facebook.com/National-Coalition-on-Health-Care-115139596885/,https://www.linkedin.com/company/national-coalition-on-health-care,,https://www.youtube.com/user/TheNCHC
National Committee for Quality Assurance,NGO,,,,,FNCHS,1100 13Th St Nw Ste 1000,,Washington,DC,20005-4285,,,,,,501(c)(3),,"The National Committee for Quality Assurance (NCQA) is a private, 501(c)(3) not-for-profit organization dedicated to improving health care quality. Since its founding in 1990, NCQA has been a central figure in driving improvement throughout the health care system, helping to elevate the issue of health care quality to the top of the national agenda.",http://www.ncqa.org/,http://www.twitter.com/ncqa,https://www.facebook.com/NCQA.org/,https://www.linkedin.com/company/ncqa,,https://www.youtube.com/user/NCQAVideo
National Communication Association,NGO,,,,,"CNSF, COMPETES, CPR","1765 N St, NW",,Washington,DC,20036,,,,,,501(c)(3),Social Science,"NCA advances Communication as the discipline that studies all forms, modes, media and consequences of communication. NCA serves the scholars, teachers and practitioners who are its members by promoting the teaching and research of communication sciences.",https://www.natcom.org/,https://twitter.com/NatComm,https://www.facebook.com/NationalCommunicationAssociation,https://www.linkedin.com/company/national-communication-association,,https://www.youtube.com/user/NationalComm
National Corn Growers Association (NCGA),NGO,,,,,NCFAR,632 Cepi Dr ,,Chesterfield,MO,63005,20 F Street NW,Suite 600,Washington,DC,20001,501(c)(5),,"Founded in 1957, the National Corn Growers Association works to create and increase opportunities for corn growers.
",http://www.ncga.com/home,https://twitter.com/NationalCorn,https://www.facebook.com/corngrowers,,,
National Council for Behavioral Health,NGO,,,,,"PHF, CHF",1400 K Street NW,Suite 400,Washington,DC,20005,,,,,,501(c)(3),,"Advocating for access to high quality Mental Health and Addiction services for all, and keeping you informed and involved along the way.",http://www.thenationalcouncil.org/,https://twitter.com/nationalcouncil,https://www.facebook.com/TheNationalCouncil,https://www.linkedin.com/company/national-council-for-behavioral-health,,https://www.youtube.com/user/nationalcouncil
National Council for Science and the Environment,NGO,,,,,"CNSF, BESC, USGS, Innovation Imperative, COMPETES",1101 17th St,Ste 250,Washington,DC,20036,,,,,,501(c)(3),,"
NCSE is a non-profit organization that bridges science and policy to resolve critical environmental challenges by connecting scientists, educators, business and policy makers. Founded 1990.",http://www.ncseonline.org/,https://twitter.com/NCSEonline,https://www.facebook.com/ncseonline/,https://www.linkedin.com/company/national-council-for-science-and-the-environment,,https://www.youtube.com/user/NCSEonline
National Council for Teacher Quality,NGO,,,,,FIES,"1120 G Street, NW, Suite 800",,Washington,DC,20005,,,,,,501(c)(3),Think-Tank & Research Institutes,"The National Council on Teacher Quality is led by the vision that every child deserves effective teachers. The National Council on Teacher Quality receives all of its funding from foundations and private donors.
As a nonpartisan research and policy organization, we recognize that it is not teachers who bear responsibility for their profession's many challenges, but the institutions with the greatest authority and influence over teachers. To that end we work to achieve fundamental changes in the policy and practices of teacher preparation programs, school districts, state governments, and teachers unions. We advocate for reforms at the federal, state and local levels.
",http://www.nctq.org/,https://twitter.com/NCTQ,https://www.facebook.com/teacherquality,,,
National Council of Farmer Cooperatives (NCFC),NGO,,,,,NCFAR,50 F St Nw ,Suite 900,Washington,DC,20001,,,,,,501(c)(6),,"Since 1929, NCFC has been the voice of America’s farmer cooperatives.",http://ncfc.org/,https://twitter.com/farmercoop,https://www.facebook.com/FarmerCoop,,,
National Council of La Raza,NGO,,,,,CDCC,1126 16Th St Nw,6th floor,Washington,DC,20036,,,,,,501(c)(3),,The largest national Hispanic civil rights and advocacy organization in the U.S,http://www.nclr.org/,https://twitter.com/NCLR,https://www.facebook.com/Nationalcounciloflaraza,,,https://www.youtube.com/user/nclr
National Council of Teachers of Mathematics,NGO,,,,,NDD,1906 Association Dr ,,Reston,VA,20191-1502,,,,,,501(c)(3),,"The National Council of Teachers of Mathematics is the global leader and foremost authority in mathematics education, ensuring that all students have access to the highest quality mathematics teaching and learning. We envision a world where everyone is enthused about mathematics, sees the value and beauty of mathematics, and is empowered by the opportunities mathematics affords.",http://www.nctm.org/,https://twitter.com/nctm,https://www.facebook.com/TeachersofMathematics,https://www.linkedin.com/company/national-council-of-teachers-of-mathematics---nctm?trk=NUS_CMPY_TWIT,,https://www.youtube.com/profile?user=NCTMChannel
National Council on Aging,NGO,,,,,FNIA,"251 18th Street South, Suite 500",,Arlington,VA,22202,,,,,,501(c)(3),,"Since 1950, The National Council on Aging (NCOA) is a respected national leader and trusted partner to help people aged 60+ meet the challenges of aging. Our mission is to improve the lives of millions of older adults, especially those who are struggling. Through innovative community programs and services, online help, and advocacy, NCOA is partnering with nonprofit organizations, government, and business to improve the health and economic security of 10 million older adults by 2020. ",https://www.ncoa.org/,https://twitter.com/NCOAging,https://www.facebook.com/NCOAging,https://www.linkedin.com/company/216832,,
National Council on Family Relations,NGO,,,,,FNICHD,1201 W River Pkwy Ste 200,,Minneapolis,MN,55454-1115,,,,,,501(c)(3),,"The National Council on Family Relations, founded in 1938, is the oldest, multi-disciplinary non-partisan professional organization focused solely on family research, practice and education.",https://www.ncfr.org/,https://twitter.com/ncfr,https://www.facebook.com/ncfrpage,,https://www.linkedin.com/groups/4760838/profile,https://www.youtube.com/user/wecareaboutfamilies
National Cued Speech Association,NGO,,,,,FNCHS,1300 Pennisavania Ave Nw Ste 190,,Washington,DC,20004-0000,,,,,,501(c)(3),,Championing literacy for families and deaf individuals. Cued Speech is a visual mode of communication in which mouth movements of speech combine with “cues”.,http://www.cuedspeech.org/,https://twitter.com/cuedspeech,https://www.facebook.com/cuedspeech/,,,
